'sample interval','i','ii','iii','avr','avl','avf','v1','v2','v3','v4','v5','v6','vx','vy','vz'
8808,0.091,-0.248,-0.340,0.078,0.215,-0.294,0.263,0.371,0.674,0.551,0.528,0.466,0.143,-0.506,-0.135
8809,0.094,-0.241,-0.335,0.073,0.215,-0.288,0.259,0.370,0.676,0.550,0.528,0.465,0.146,-0.502,-0.137
8810,0.095,-0.244,-0.339,0.074,0.217,-0.291,0.260,0.370,0.678,0.551,0.528,0.467,0.146,-0.503,-0.137
8811,0.099,-0.238,-0.337,0.070,0.218,-0.288,0.262,0.373,0.679,0.553,0.529,0.468,0.148,-0.501,-0.137
8812,0.102,-0.240,-0.342,0.069,0.222,-0.291,0.259,0.374,0.683,0.554,0.530,0.468,0.148,-0.504,-0.136
8813,0.096,-0.251,-0.346,0.077,0.221,-0.298,0.260,0.373,0.679,0.555,0.529,0.469,0.147,-0.509,-0.136
8814,0.093,-0.254,-0.346,0.080,0.220,-0.300,0.266,0.376,0.681,0.557,0.530,0.469,0.146,-0.506,-0.137
8815,0.095,-0.256,-0.349,0.081,0.222,-0.302,0.266,0.380,0.686,0.559,0.532,0.470,0.145,-0.507,-0.137
8816,0.086,-0.253,-0.339,0.083,0.212,-0.295,0.272,0.386,0.693,0.561,0.536,0.474,0.146,-0.506,-0.138
8817,0.082,-0.249,-0.330,0.083,0.206,-0.289,0.273,0.388,0.695,0.561,0.538,0.474,0.144,-0.502,-0.139
8818,0.078,-0.256,-0.333,0.088,0.205,-0.294,0.273,0.390,0.696,0.566,0.539,0.476,0.145,-0.505,-0.136
8819,0.083,-0.265,-0.346,0.090,0.215,-0.305,0.273,0.390,0.695,0.564,0.538,0.476,0.144,-0.512,-0.136
8820,0.097,-0.265,-0.362,0.084,0.230,-0.314,0.267,0.387,0.689,0.559,0.534,0.473,0.145,-0.516,-0.137
8821,0.103,-0.262,-0.364,0.079,0.234,-0.313,0.262,0.388,0.691,0.560,0.534,0.472,0.145,-0.519,-0.137
8822,0.104,-0.256,-0.359,0.075,0.232,-0.308,0.261,0.389,0.691,0.562,0.536,0.473,0.146,-0.514,-0.138
8823,0.101,-0.252,-0.352,0.075,0.227,-0.302,0.264,0.389,0.692,0.563,0.536,0.474,0.149,-0.506,-0.138
8824,0.100,-0.244,-0.344,0.072,0.223,-0.294,0.260,0.383,0.688,0.558,0.531,0.473,0.149,-0.504,-0.138
8825,0.099,-0.239,-0.338,0.070,0.218,-0.288,0.262,0.387,0.692,0.565,0.535,0.475,0.151,-0.503,-0.138
8826,0.099,-0.241,-0.340,0.071,0.219,-0.290,0.259,0.395,0.697,0.567,0.537,0.475,0.151,-0.500,-0.141
8827,0.095,-0.247,-0.341,0.076,0.218,-0.294,0.257,0.393,0.698,0.567,0.536,0.474,0.151,-0.499,-0.140
8828,0.098,-0.240,-0.338,0.071,0.217,-0.289,0.263,0.391,0.701,0.570,0.536,0.474,0.153,-0.498,-0.141
8829,0.106,-0.230,-0.336,0.061,0.222,-0.283,0.258,0.389,0.696,0.561,0.533,0.472,0.154,-0.491,-0.141
8830,0.105,-0.234,-0.339,0.064,0.222,-0.286,0.259,0.393,0.698,0.563,0.535,0.473,0.154,-0.491,-0.141
8831,0.107,-0.233,-0.340,0.062,0.224,-0.286,0.259,0.391,0.698,0.565,0.535,0.474,0.155,-0.493,-0.140
8832,0.106,-0.234,-0.340,0.064,0.223,-0.286,0.259,0.394,0.702,0.569,0.537,0.476,0.156,-0.498,-0.141
8833,0.104,-0.240,-0.344,0.068,0.225,-0.292,0.262,0.401,0.707,0.572,0.540,0.476,0.155,-0.501,-0.140
8834,0.104,-0.244,-0.348,0.070,0.227,-0.296,0.264,0.403,0.709,0.574,0.543,0.479,0.158,-0.498,-0.140
8835,0.103,-0.249,-0.351,0.072,0.228,-0.300,0.263,0.405,0.711,0.576,0.542,0.480,0.158,-0.506,-0.141
8836,0.104,-0.249,-0.352,0.072,0.229,-0.300,0.260,0.402,0.710,0.574,0.540,0.480,0.159,-0.509,-0.140
8837,0.102,-0.244,-0.346,0.070,0.225,-0.295,0.259,0.400,0.710,0.576,0.542,0.480,0.161,-0.501,-0.140
8838,0.105,-0.245,-0.350,0.070,0.228,-0.297,0.260,0.407,0.714,0.578,0.543,0.481,0.162,-0.499,-0.140
8839,0.104,-0.253,-0.356,0.074,0.231,-0.304,0.262,0.410,0.718,0.582,0.546,0.484,0.162,-0.507,-0.139
8840,0.102,-0.257,-0.359,0.077,0.231,-0.308,0.261,0.406,0.715,0.580,0.545,0.484,0.160,-0.510,-0.140
8841,0.109,-0.254,-0.362,0.072,0.236,-0.308,0.265,0.411,0.719,0.583,0.545,0.484,0.162,-0.504,-0.140
8842,0.112,-0.248,-0.359,0.068,0.235,-0.303,0.261,0.410,0.717,0.581,0.544,0.482,0.162,-0.505,-0.140
8843,0.105,-0.244,-0.349,0.070,0.228,-0.297,0.258,0.409,0.717,0.579,0.544,0.481,0.161,-0.501,-0.140
8844,0.108,-0.234,-0.343,0.063,0.226,-0.288,0.261,0.415,0.721,0.583,0.545,0.483,0.163,-0.496,-0.142
8845,0.106,-0.232,-0.338,0.062,0.223,-0.285,0.262,0.414,0.719,0.583,0.545,0.482,0.163,-0.501,-0.145
8846,0.103,-0.236,-0.339,0.066,0.222,-0.287,0.265,0.417,0.723,0.585,0.547,0.485,0.163,-0.499,-0.146
8847,0.108,-0.238,-0.346,0.065,0.228,-0.292,0.262,0.419,0.725,0.585,0.547,0.484,0.164,-0.503,-0.143
8848,0.111,-0.232,-0.342,0.060,0.227,-0.287,0.259,0.418,0.724,0.584,0.546,0.483,0.164,-0.499,-0.142
8849,0.113,-0.219,-0.332,0.053,0.223,-0.276,0.259,0.418,0.726,0.585,0.546,0.484,0.165,-0.487,-0.145
8850,0.112,-0.227,-0.339,0.058,0.226,-0.283,0.259,0.420,0.728,0.585,0.548,0.484,0.164,-0.492,-0.143
8851,0.114,-0.233,-0.345,0.059,0.230,-0.289,0.256,0.423,0.731,0.589,0.550,0.485,0.164,-0.493,-0.144
8852,0.113,-0.230,-0.342,0.058,0.228,-0.286,0.258,0.424,0.733,0.591,0.550,0.485,0.167,-0.495,-0.146
8853,0.109,-0.235,-0.344,0.063,0.227,-0.290,0.265,0.425,0.735,0.591,0.550,0.485,0.168,-0.501,-0.144
8854,0.109,-0.242,-0.350,0.066,0.230,-0.296,0.266,0.431,0.739,0.594,0.551,0.484,0.167,-0.503,-0.145
8855,0.107,-0.245,-0.352,0.069,0.231,-0.299,0.267,0.438,0.742,0.597,0.553,0.485,0.168,-0.504,-0.145
8856,0.107,-0.246,-0.353,0.070,0.231,-0.300,0.264,0.436,0.741,0.595,0.552,0.485,0.168,-0.502,-0.145
8857,0.110,-0.243,-0.353,0.067,0.232,-0.298,0.262,0.435,0.741,0.595,0.551,0.483,0.168,-0.501,-0.147
8858,0.115,-0.240,-0.354,0.062,0.235,-0.297,0.267,0.440,0.746,0.597,0.551,0.485,0.167,-0.503,-0.148
8859,0.117,-0.251,-0.367,0.066,0.242,-0.309,0.266,0.440,0.749,0.598,0.550,0.485,0.167,-0.513,-0.145
8860,0.117,-0.253,-0.370,0.068,0.244,-0.311,0.267,0.443,0.750,0.602,0.551,0.483,0.167,-0.511,-0.146
8861,0.115,-0.249,-0.363,0.067,0.239,-0.306,0.270,0.448,0.754,0.604,0.551,0.483,0.166,-0.502,-0.148
8862,0.113,-0.247,-0.359,0.067,0.236,-0.303,0.266,0.450,0.757,0.605,0.551,0.483,0.169,-0.503,-0.148
8863,0.114,-0.240,-0.354,0.063,0.234,-0.297,0.267,0.449,0.758,0.606,0.551,0.482,0.169,-0.505,-0.149
8864,0.120,-0.231,-0.349,0.055,0.235,-0.290,0.266,0.450,0.760,0.606,0.550,0.482,0.169,-0.503,-0.150
8865,0.123,-0.225,-0.347,0.051,0.235,-0.286,0.265,0.453,0.763,0.610,0.552,0.483,0.170,-0.493,-0.152
8866,0.120,-0.226,-0.346,0.053,0.234,-0.286,0.270,0.456,0.767,0.612,0.553,0.481,0.168,-0.492,-0.153
8867,0.117,-0.228,-0.345,0.055,0.232,-0.286,0.269,0.458,0.770,0.613,0.554,0.481,0.169,-0.493,-0.153
8868,0.116,-0.226,-0.341,0.054,0.229,-0.283,0.268,0.459,0.771,0.614,0.554,0.479,0.169,-0.492,-0.153
8869,0.126,-0.214,-0.339,0.044,0.233,-0.277,0.263,0.458,0.767,0.611,0.552,0.478,0.173,-0.485,-0.154
8870,0.132,-0.212,-0.344,0.040,0.238,-0.278,0.257,0.462,0.773,0.615,0.553,0.481,0.176,-0.485,-0.153
8871,0.126,-0.220,-0.345,0.046,0.236,-0.282,0.263,0.463,0.778,0.618,0.555,0.482,0.175,-0.488,-0.154
8872,0.125,-0.220,-0.344,0.047,0.235,-0.282,0.264,0.463,0.776,0.619,0.555,0.481,0.175,-0.481,-0.153
8873,0.125,-0.221,-0.345,0.048,0.235,-0.283,0.269,0.472,0.781,0.623,0.556,0.482,0.174,-0.487,-0.154
8874,0.124,-0.229,-0.353,0.052,0.239,-0.291,0.270,0.475,0.787,0.625,0.559,0.483,0.175,-0.492,-0.155
8875,0.126,-0.234,-0.359,0.054,0.243,-0.297,0.269,0.476,0.790,0.628,0.561,0.485,0.176,-0.491,-0.154
8876,0.126,-0.234,-0.359,0.054,0.242,-0.296,0.273,0.477,0.791,0.628,0.561,0.484,0.176,-0.495,-0.156
8877,0.129,-0.228,-0.355,0.049,0.242,-0.291,0.270,0.480,0.795,0.631,0.562,0.485,0.176,-0.497,-0.157
8878,0.127,-0.229,-0.356,0.051,0.241,-0.292,0.272,0.486,0.799,0.634,0.565,0.488,0.177,-0.497,-0.156
8879,0.124,-0.240,-0.364,0.058,0.244,-0.302,0.273,0.490,0.804,0.637,0.566,0.490,0.178,-0.503,-0.154
8880,0.129,-0.240,-0.368,0.056,0.249,-0.304,0.277,0.493,0.804,0.640,0.568,0.492,0.178,-0.504,-0.156
8881,0.126,-0.241,-0.366,0.058,0.246,-0.304,0.276,0.494,0.804,0.641,0.568,0.489,0.175,-0.500,-0.159
8882,0.122,-0.239,-0.360,0.059,0.241,-0.300,0.280,0.498,0.811,0.642,0.567,0.489,0.175,-0.492,-0.161
8883,0.131,-0.228,-0.357,0.048,0.244,-0.292,0.281,0.500,0.815,0.645,0.567,0.491,0.179,-0.489,-0.162
8884,0.137,-0.220,-0.356,0.042,0.246,-0.288,0.274,0.499,0.816,0.645,0.566,0.491,0.181,-0.491,-0.163
8885,0.134,-0.220,-0.353,0.043,0.244,-0.286,0.277,0.501,0.817,0.644,0.565,0.491,0.179,-0.490,-0.165
8886,0.133,-0.223,-0.355,0.045,0.244,-0.289,0.274,0.506,0.823,0.652,0.568,0.491,0.180,-0.494,-0.165
8887,0.135,-0.224,-0.358,0.044,0.247,-0.291,0.275,0.509,0.829,0.656,0.568,0.491,0.181,-0.492,-0.166
8888,0.137,-0.221,-0.357,0.042,0.247,-0.289,0.276,0.509,0.827,0.653,0.566,0.489,0.182,-0.488,-0.167
8889,0.139,-0.211,-0.349,0.036,0.244,-0.280,0.268,0.509,0.825,0.653,0.564,0.486,0.183,-0.484,-0.168
8890,0.138,-0.210,-0.347,0.035,0.243,-0.279,0.270,0.511,0.830,0.655,0.566,0.487,0.184,-0.482,-0.168
8891,0.134,-0.217,-0.350,0.041,0.242,-0.283,0.276,0.519,0.837,0.662,0.570,0.492,0.185,-0.488,-0.167
8892,0.136,-0.216,-0.351,0.040,0.244,-0.284,0.279,0.525,0.846,0.666,0.573,0.493,0.185,-0.485,-0.172
8893,0.138,-0.218,-0.355,0.040,0.246,-0.286,0.278,0.528,0.848,0.669,0.576,0.494,0.185,-0.483,-0.172
8894,0.139,-0.225,-0.363,0.043,0.251,-0.294,0.277,0.527,0.849,0.671,0.576,0.494,0.186,-0.492,-0.172
8895,0.147,-0.227,-0.374,0.040,0.261,-0.300,0.274,0.528,0.851,0.670,0.574,0.491,0.187,-0.494,-0.172
8896,0.146,-0.228,-0.373,0.040,0.261,-0.300,0.271,0.535,0.857,0.672,0.575,0.492,0.189,-0.498,-0.172
8897,0.141,-0.224,-0.364,0.041,0.253,-0.294,0.273,0.539,0.863,0.677,0.578,0.494,0.190,-0.496,-0.172
8898,0.142,-0.225,-0.366,0.041,0.254,-0.295,0.277,0.546,0.869,0.684,0.581,0.495,0.189,-0.493,-0.174
8899,0.145,-0.235,-0.381,0.044,0.263,-0.308,0.275,0.550,0.872,0.686,0.581,0.494,0.189,-0.500,-0.175
8900,0.143,-0.235,-0.378,0.045,0.261,-0.306,0.277,0.554,0.877,0.690,0.584,0.497,0.190,-0.498,-0.175
8901,0.140,-0.229,-0.368,0.044,0.254,-0.298,0.281,0.560,0.885,0.697,0.588,0.500,0.192,-0.499,-0.177
8902,0.143,-0.226,-0.369,0.042,0.256,-0.297,0.278,0.558,0.886,0.698,0.587,0.497,0.193,-0.497,-0.177
8903,0.141,-0.223,-0.363,0.040,0.253,-0.293,0.275,0.560,0.889,0.698,0.586,0.495,0.193,-0.493,-0.178
8904,0.143,-0.215,-0.358,0.035,0.252,-0.287,0.274,0.563,0.892,0.701,0.584,0.493,0.192,-0.490,-0.180
8905,0.146,-0.210,-0.356,0.032,0.252,-0.283,0.275,0.566,0.900,0.708,0.587,0.495,0.195,-0.486,-0.182
8906,0.145,-0.205,-0.351,0.030,0.248,-0.279,0.278,0.576,0.904,0.710,0.589,0.497,0.196,-0.477,-0.182
8907,0.148,-0.204,-0.353,0.028,0.251,-0.279,0.280,0.581,0.905,0.711,0.589,0.497,0.196,-0.472,-0.183
8908,0.151,-0.207,-0.358,0.028,0.256,-0.283,0.275,0.581,0.909,0.714,0.588,0.496,0.198,-0.479,-0.184
8909,0.156,-0.199,-0.354,0.021,0.256,-0.277,0.276,0.582,0.912,0.716,0.586,0.493,0.199,-0.476,-0.188
8910,0.161,-0.195,-0.356,0.017,0.259,-0.276,0.277,0.587,0.918,0.719,0.588,0.493,0.200,-0.477,-0.189
8911,0.157,-0.203,-0.359,0.022,0.259,-0.281,0.280,0.594,0.923,0.724,0.590,0.494,0.198,-0.478,-0.189
8912,0.152,-0.207,-0.359,0.027,0.257,-0.283,0.280,0.600,0.930,0.727,0.593,0.495,0.200,-0.481,-0.190
8913,0.152,-0.212,-0.364,0.029,0.259,-0.287,0.279,0.605,0.936,0.732,0.594,0.494,0.202,-0.484,-0.191
8914,0.159,-0.217,-0.376,0.029,0.267,-0.296,0.280,0.609,0.941,0.733,0.593,0.494,0.203,-0.484,-0.191
8915,0.169,-0.216,-0.385,0.023,0.277,-0.300,0.279,0.612,0.944,0.734,0.594,0.492,0.204,-0.486,-0.192
8916,0.170,-0.209,-0.379,0.019,0.275,-0.294,0.282,0.620,0.951,0.741,0.597,0.493,0.204,-0.482,-0.194
8917,0.170,-0.205,-0.374,0.018,0.273,-0.290,0.278,0.626,0.957,0.746,0.599,0.496,0.207,-0.485,-0.193
8918,0.172,-0.208,-0.380,0.018,0.276,-0.293,0.281,0.632,0.964,0.751,0.601,0.496,0.206,-0.485,-0.195
8919,0.171,-0.219,-0.390,0.024,0.281,-0.304,0.284,0.640,0.973,0.757,0.606,0.499,0.206,-0.489,-0.197
8920,0.172,-0.223,-0.395,0.025,0.284,-0.308,0.281,0.642,0.977,0.760,0.605,0.500,0.208,-0.493,-0.197
8921,0.175,-0.217,-0.393,0.021,0.284,-0.305,0.281,0.646,0.982,0.765,0.608,0.502,0.209,-0.490,-0.198
8922,0.176,-0.213,-0.389,0.018,0.283,-0.301,0.284,0.653,0.989,0.770,0.612,0.502,0.210,-0.484,-0.202
8923,0.176,-0.210,-0.386,0.017,0.281,-0.297,0.283,0.655,0.990,0.770,0.610,0.501,0.211,-0.482,-0.203
8924,0.179,-0.203,-0.382,0.011,0.281,-0.292,0.280,0.659,0.997,0.775,0.611,0.500,0.215,-0.483,-0.203
8925,0.184,-0.199,-0.383,0.007,0.283,-0.290,0.282,0.662,1.001,0.778,0.612,0.502,0.218,-0.481,-0.205
8926,0.186,-0.202,-0.387,0.007,0.286,-0.294,0.280,0.668,1.003,0.781,0.613,0.505,0.220,-0.482,-0.206
8927,0.183,-0.203,-0.386,0.010,0.284,-0.294,0.281,0.681,1.018,0.791,0.618,0.507,0.221,-0.476,-0.209
8928,0.191,-0.196,-0.386,0.003,0.288,-0.290,0.280,0.685,1.026,0.795,0.621,0.508,0.226,-0.476,-0.209
8929,0.194,-0.187,-0.381,-0.004,0.287,-0.283,0.278,0.688,1.028,0.800,0.621,0.507,0.229,-0.475,-0.210
8930,0.194,-0.184,-0.378,-0.005,0.286,-0.281,0.280,0.694,1.036,0.804,0.622,0.509,0.231,-0.468,-0.213
8931,0.200,-0.189,-0.388,-0.006,0.294,-0.288,0.280,0.700,1.044,0.806,0.623,0.511,0.233,-0.474,-0.212
8932,0.197,-0.196,-0.393,-0.001,0.295,-0.294,0.282,0.709,1.054,0.814,0.626,0.511,0.233,-0.479,-0.213
8933,0.198,-0.199,-0.396,0.001,0.297,-0.297,0.281,0.717,1.062,0.821,0.628,0.512,0.236,-0.483,-0.216
8934,0.203,-0.207,-0.409,0.003,0.306,-0.308,0.281,0.723,1.069,0.825,0.629,0.512,0.237,-0.491,-0.215
8935,0.206,-0.207,-0.412,0.000,0.309,-0.309,0.285,0.730,1.076,0.832,0.630,0.511,0.237,-0.490,-0.218
8936,0.205,-0.205,-0.409,0.000,0.307,-0.307,0.287,0.735,1.085,0.836,0.632,0.512,0.238,-0.486,-0.222
8937,0.210,-0.204,-0.414,-0.003,0.313,-0.309,0.285,0.741,1.092,0.842,0.634,0.513,0.240,-0.484,-0.224
8938,0.214,-0.203,-0.416,-0.006,0.316,-0.309,0.290,0.752,1.101,0.850,0.637,0.514,0.240,-0.484,-0.226
8939,0.212,-0.212,-0.423,-0.001,0.318,-0.318,0.293,0.760,1.113,0.858,0.641,0.514,0.240,-0.490,-0.226
8940,0.220,-0.214,-0.433,-0.003,0.327,-0.324,0.289,0.762,1.116,0.861,0.639,0.513,0.243,-0.489,-0.227
8941,0.221,-0.211,-0.432,-0.005,0.327,-0.322,0.286,0.767,1.123,0.865,0.640,0.512,0.244,-0.489,-0.230
8942,0.218,-0.206,-0.424,-0.006,0.322,-0.315,0.289,0.777,1.134,0.873,0.644,0.512,0.244,-0.488,-0.232
8943,0.223,-0.201,-0.423,-0.011,0.323,-0.312,0.293,0.784,1.141,0.876,0.646,0.512,0.246,-0.483,-0.234
8944,0.232,-0.192,-0.423,-0.021,0.328,-0.307,0.289,0.788,1.148,0.883,0.648,0.513,0.251,-0.481,-0.237
8945,0.238,-0.186,-0.424,-0.026,0.331,-0.305,0.293,0.796,1.157,0.889,0.650,0.514,0.253,-0.476,-0.239
8946,0.238,-0.190,-0.427,-0.025,0.334,-0.308,0.289,0.803,1.164,0.896,0.653,0.514,0.254,-0.479,-0.241
8947,0.239,-0.194,-0.433,-0.022,0.336,-0.314,0.287,0.810,1.173,0.901,0.653,0.513,0.255,-0.481,-0.244
8948,0.241,-0.190,-0.430,-0.025,0.336,-0.310,0.287,0.817,1.179,0.905,0.655,0.514,0.259,-0.478,-0.245
8949,0.246,-0.178,-0.423,-0.035,0.335,-0.301,0.288,0.823,1.187,0.913,0.659,0.515,0.264,-0.476,-0.246
8950,0.252,-0.174,-0.425,-0.038,0.339,-0.300,0.290,0.833,1.200,0.920,0.661,0.516,0.266,-0.474,-0.249
8951,0.257,-0.177,-0.434,-0.040,0.346,-0.306,0.288,0.841,1.210,0.928,0.665,0.517,0.267,-0.480,-0.252
8952,0.255,-0.189,-0.444,-0.034,0.349,-0.316,0.292,0.849,1.218,0.935,0.668,0.520,0.269,-0.480,-0.252
8953,0.254,-0.194,-0.448,-0.030,0.350,-0.321,0.288,0.857,1.226,0.942,0.671,0.521,0.271,-0.481,-0.253
8954,0.262,-0.196,-0.458,-0.033,0.359,-0.327,0.288,0.865,1.236,0.949,0.674,0.523,0.274,-0.485,-0.256
8955,0.265,-0.200,-0.464,-0.033,0.364,-0.332,0.291,0.873,1.244,0.956,0.677,0.524,0.275,-0.490,-0.257
8956,0.267,-0.198,-0.464,-0.035,0.365,-0.331,0.290,0.879,1.252,0.962,0.677,0.522,0.276,-0.495,-0.258
8957,0.272,-0.194,-0.465,-0.040,0.368,-0.329,0.293,0.888,1.261,0.968,0.679,0.523,0.278,-0.495,-0.260
8958,0.279,-0.196,-0.474,-0.042,0.377,-0.335,0.295,0.895,1.268,0.976,0.682,0.525,0.280,-0.496,-0.263
8959,0.281,-0.205,-0.486,-0.038,0.384,-0.346,0.295,0.901,1.277,0.980,0.681,0.524,0.279,-0.499,-0.261
8960,0.281,-0.207,-0.488,-0.037,0.385,-0.348,0.295,0.907,1.284,0.985,0.682,0.523,0.280,-0.501,-0.263
8961,0.287,-0.203,-0.490,-0.042,0.389,-0.347,0.297,0.917,1.292,0.991,0.683,0.522,0.280,-0.500,-0.269
8962,0.293,-0.197,-0.490,-0.049,0.392,-0.344,0.295,0.923,1.300,0.995,0.682,0.518,0.281,-0.495,-0.269
8963,0.299,-0.191,-0.489,-0.055,0.395,-0.340,0.293,0.926,1.302,0.996,0.682,0.518,0.284,-0.496,-0.271
8964,0.303,-0.185,-0.487,-0.059,0.396,-0.337,0.293,0.933,1.309,0.998,0.683,0.517,0.286,-0.497,-0.272
8965,0.303,-0.180,-0.483,-0.061,0.393,-0.332,0.293,0.940,1.317,1.003,0.683,0.518,0.289,-0.494,-0.274
8966,0.300,-0.183,-0.483,-0.059,0.392,-0.333,0.294,0.948,1.323,1.010,0.685,0.520,0.289,-0.492,-0.278
8967,0.302,-0.189,-0.490,-0.057,0.397,-0.340,0.294,0.953,1.331,1.016,0.688,0.519,0.288,-0.494,-0.279
8968,0.308,-0.183,-0.491,-0.063,0.401,-0.338,0.295,0.959,1.337,1.020,0.688,0.518,0.291,-0.493,-0.281
8969,0.314,-0.173,-0.486,-0.070,0.400,-0.330,0.294,0.966,1.345,1.026,0.688,0.517,0.293,-0.488,-0.283
8970,0.319,-0.171,-0.489,-0.074,0.404,-0.330,0.294,0.971,1.351,1.032,0.689,0.518,0.295,-0.491,-0.283
8971,0.327,-0.172,-0.498,-0.078,0.412,-0.335,0.295,0.975,1.359,1.036,0.689,0.516,0.294,-0.493,-0.285
8972,0.331,-0.180,-0.510,-0.075,0.420,-0.345,0.300,0.987,1.371,1.044,0.693,0.517,0.296,-0.498,-0.287
8973,0.325,-0.186,-0.510,-0.070,0.418,-0.348,0.302,0.995,1.379,1.050,0.697,0.520,0.296,-0.504,-0.288
8974,0.323,-0.188,-0.510,-0.068,0.417,-0.349,0.303,1.000,1.385,1.058,0.700,0.520,0.296,-0.505,-0.288
8975,0.324,-0.194,-0.517,-0.065,0.421,-0.356,0.306,1.008,1.393,1.062,0.701,0.521,0.298,-0.506,-0.290
8976,0.325,-0.193,-0.517,-0.067,0.421,-0.355,0.306,1.013,1.399,1.063,0.703,0.519,0.296,-0.501,-0.294
8977,0.334,-0.192,-0.525,-0.071,0.430,-0.359,0.303,1.013,1.401,1.065,0.701,0.516,0.297,-0.503,-0.295
8978,0.341,-0.197,-0.537,-0.072,0.439,-0.367,0.297,1.016,1.407,1.069,0.701,0.515,0.300,-0.511,-0.294
8979,0.342,-0.202,-0.543,-0.070,0.443,-0.372,0.304,1.027,1.415,1.077,0.706,0.517,0.300,-0.510,-0.294
8980,0.343,-0.208,-0.550,-0.068,0.447,-0.379,0.304,1.030,1.415,1.077,0.705,0.517,0.300,-0.515,-0.295
8981,0.336,-0.210,-0.546,-0.064,0.442,-0.378,0.302,1.034,1.421,1.081,0.707,0.517,0.302,-0.519,-0.297
8982,0.334,-0.205,-0.537,-0.065,0.435,-0.371,0.309,1.046,1.432,1.089,0.713,0.522,0.305,-0.514,-0.300
8983,0.339,-0.201,-0.539,-0.069,0.439,-0.370,0.306,1.048,1.434,1.091,0.712,0.522,0.307,-0.513,-0.301
8984,0.347,-0.193,-0.539,-0.077,0.444,-0.366,0.305,1.046,1.433,1.091,0.710,0.517,0.309,-0.511,-0.302
8985,0.354,-0.186,-0.539,-0.085,0.448,-0.362,0.304,1.052,1.435,1.093,0.711,0.516,0.314,-0.508,-0.302
8986,0.350,-0.191,-0.540,-0.080,0.446,-0.365,0.305,1.056,1.436,1.097,0.712,0.516,0.313,-0.508,-0.304
8987,0.347,-0.196,-0.543,-0.076,0.446,-0.369,0.307,1.056,1.440,1.099,0.712,0.513,0.310,-0.514,-0.306
8988,0.347,-0.197,-0.543,-0.075,0.446,-0.370,0.302,1.058,1.446,1.099,0.711,0.510,0.313,-0.514,-0.307
8989,0.348,-0.188,-0.536,-0.081,0.443,-0.362,0.306,1.062,1.446,1.102,0.708,0.508,0.314,-0.513,-0.310
8990,0.352,-0.184,-0.535,-0.084,0.444,-0.360,0.315,1.062,1.446,1.101,0.706,0.504,0.310,-0.512,-0.310
8991,0.353,-0.189,-0.542,-0.083,0.448,-0.366,0.311,1.058,1.442,1.099,0.703,0.502,0.309,-0.512,-0.309
8992,0.354,-0.198,-0.552,-0.079,0.454,-0.374,0.310,1.058,1.444,1.101,0.701,0.501,0.307,-0.520,-0.309
8993,0.347,-0.205,-0.551,-0.071,0.450,-0.379,0.323,1.065,1.447,1.105,0.703,0.502,0.303,-0.520,-0.311
8994,0.346,-0.208,-0.554,-0.070,0.451,-0.381,0.325,1.067,1.446,1.103,0.702,0.500,0.301,-0.523,-0.313
8995,0.352,-0.210,-0.562,-0.071,0.457,-0.386,0.322,1.065,1.448,1.103,0.701,0.498,0.302,-0.528,-0.310
8996,0.351,-0.210,-0.560,-0.071,0.456,-0.386,0.327,1.063,1.444,1.101,0.699,0.495,0.299,-0.525,-0.311
8997,0.354,-0.205,-0.559,-0.074,0.457,-0.383,0.325,1.060,1.438,1.098,0.698,0.492,0.297,-0.528,-0.312
8998,0.349,-0.210,-0.559,-0.070,0.455,-0.384,0.326,1.059,1.442,1.103,0.698,0.494,0.298,-0.526,-0.314
8999,0.345,-0.224,-0.569,-0.061,0.457,-0.396,0.329,1.056,1.433,1.097,0.697,0.493,0.293,-0.524,-0.311
9000,0.346,-0.228,-0.574,-0.059,0.460,-0.401,0.327,1.052,1.423,1.089,0.695,0.491,0.289,-0.530,-0.310
9001,0.344,-0.227,-0.571,-0.059,0.458,-0.399,0.325,1.048,1.419,1.090,0.692,0.489,0.288,-0.536,-0.310
9002,0.341,-0.226,-0.567,-0.058,0.454,-0.397,0.327,1.042,1.413,1.086,0.690,0.489,0.286,-0.536,-0.309
9003,0.337,-0.222,-0.557,-0.058,0.447,-0.390,0.330,1.036,1.407,1.081,0.687,0.487,0.283,-0.530,-0.309
9004,0.338,-0.216,-0.554,-0.061,0.447,-0.386,0.330,1.028,1.397,1.075,0.683,0.485,0.285,-0.531,-0.308
9005,0.334,-0.216,-0.549,-0.059,0.442,-0.383,0.331,1.024,1.393,1.075,0.682,0.487,0.285,-0.529,-0.308
9006,0.329,-0.220,-0.547,-0.055,0.438,-0.384,0.329,1.018,1.383,1.068,0.681,0.487,0.278,-0.529,-0.307
9007,0.327,-0.226,-0.552,-0.051,0.440,-0.389,0.329,1.008,1.367,1.056,0.677,0.485,0.275,-0.534,-0.303
9008,0.326,-0.223,-0.548,-0.052,0.437,-0.386,0.326,0.999,1.358,1.050,0.673,0.482,0.273,-0.531,-0.302
9009,0.327,-0.211,-0.537,-0.058,0.432,-0.374,0.322,0.987,1.345,1.040,0.667,0.480,0.271,-0.518,-0.301
9010,0.318,-0.213,-0.529,-0.052,0.424,-0.371,0.330,0.980,1.335,1.034,0.666,0.479,0.268,-0.518,-0.302
